SITE|FECHA|SEGMENTO|SENT_TG|SENT_CG|INSTALLS_TG|INSTALLS_CG|GASTO_TG|INSTALL_TOUCH|BUYERS_2D|BUYERS_5D|BUYERS_30D|GMV INSTALL|REVENUE|TC|GMV_INC_30D|REVENUE_INC_30D|FREQ_INC_30D|SENT_MAIL|SENT_CAMP|OPEN_MAIL|OPEN_CAMP
MLM|2020-10-13|BAJO|322789.0|56956.0|2313.0|184.0|2201.0067|1523.0|715|812.0|995.0|35024.29|3852.6719|21.3677|44442.1089|3133.237479|1201.1180769999999||||
MLA|2020-10-19|ALTO|463029.0|81743.0|1644.0|281.0|0.0|839.0|292|419.0|667.0|49436.67|4696.48365|77.58|61888.19414|5879.378443|626.729614||||
MLA|2020-10-19|MEDIO|372531.0|65984.0|3004.0|210.0|2155.4657|2052.0|855|1003.0|1375.0|52612.57|4998.19415|77.58|68373.3092|4398.679674|1370.328121||||
MLA|2020-10-19|BAJO|405194.0|71229.0|2586.0|205.0|2740.5331|1602.0|712|797.0|1016.0|45384.67|4311.54365|77.58|57081.36061|2727.3510579999997|1137.445385||||
MCO|2020-10-19|ALTO|126723.0|126301.0|434.0|357.0|0.0|244.0|87|113.0|159.0|7454.95|760.4049|3846.4497|8308.629196|-40.776121999999994|289.407108||||
MCO|2020-10-19|MEDIO|89275.0|89162.0|866.0|176.0|789.9212|608.0|262|315.0|377.0|8631.62|880.42524|3846.4497|8308.629196|-40.776121999999994|289.407108||||
MCO|2020-10-19|BAJO|91488.0|92022.0|802.0|172.0|1486.309|533.0|271|303.0|332.0|7456.48|760.5609599999997|3846.4497|8308.629196|-40.776121999999994|289.407108||||
MLA|2020-10-26|ALTO|458721.0|81230.0|1649.0|219.0|0.0|993.0|303|431.0|743.0|59902.42|5690.7299|78.13|64995.80824|6174.601782|544.7242639||||
MLA|2020-10-26|MEDIO|366582.0|65019.0|3156.0|166.0|2797.6287|2270.0|1098|1232.0|1637.0|56830.36|5398.8842|78.13|71125.42842000001|4017.56|1668.474412||||
MLA|2020-10-26|BAJO|397016.0|69453.0|3161.0|180.0|4113.2309|2088.0|1002|1096.0|1386.0|50939.61|4839.26295|78.13|76317.98985|3226.625536|1508.082312||||
MLM|2020-11-02|ALTO|372568.0|65901.0|1498.0|195.0|0.0|886.0|336|444.0|699.0|19134.12|2104.7532|21.2508|38315.58743|4214.714618|745.2654097999997||||
MLM|2020-11-02|MEDIO|302080.0|53159.0|2539.0|131.0|2028.9520000000002|1880.0|738|902.0|1243.0|25817.93|2839.9723|21.2508|47041.86597|3197.437156|1405.070351||||
MLM|2020-11-02|BAJO|303230.0|53506.0|1767.0|136.0|2049.2741|1106.0|473|585.0|756.0|17669.62|1943.6582|21.2508|34435.46299|1781.010228|950.3180697999999||||
MLM|2020-11-09|ALTO|381547.0|67563.0|2217.0|344.0|0.0|1375.0|680|871.0|1136.0|95577.71|10513.5481|20.36|123246.1805|11004.098559999999|1364.511584||||
MLM|2020-11-09|MEDIO|315452.0|55616.0|1611.0|241.0|0.0|816.0|353|436.0|568.0|37522.83|4127.5113|20.36|56299.74228|5257.147651|801.2121694||||
MLM|2020-11-09|BAJO|325346.0|57234.0|1273.0|228.0|0.0|529.0|226|273.0|358.0|25160.05|2767.6055|20.36|33849.939360000004|3134.321829|482.4455087||||
MLC|2020-11-09|ALTO|159185.0|28099.0|891.0|105.0|0.0|510.0|214|276.0|395.0|13123.76|1049.9008|759.2496|23855.58233|1908.446586|487.2011592||||
MLC|2020-11-09|MEDIO|136094.0|24108.0|878.0|84.0|596.5998|580.0|303|339.0|408.0|13018.42|1041.4736|759.2496|18191.999819999997|866.6627858999999|480.1494877||||
MLC|2020-11-09|BAJO|147084.0|25856.0|889.0|59.0|1186.3491|613.0|305|335.0|410.0|13079.57|1046.3656|759.2496|18431.64917|301.4172335|508.07020939999995||||
MCO|2020-11-17|ALTO|217913.0|38294.0|523.0|89.0|0.0|274.0|121||207.0|6499.4|662.9388|3639.9374|9595.168115999999|978.4369341|341.3939727||||
MCO|2020-11-17|MEDIO|150046.0|26402.0|985.0|45.0|1243.2072|698.0|378||491.0|8645.64|881.8552800000001|3639.9374|9595.168115999999|978.4369341|341.3939727||||
MCO|2020-11-17|BAJO|152133.0|27084.0|670.0|47.0|860.4195|449.0|222||282.0|4960.05|505.9251|3639.9374|9595.168115999999|978.4369341|341.3939727||||
MLC|2020-11-16|ALTO|157555.0|27538.0|619.0|111.0|0.0|339.0|136|176.0|254.0|7938.98|635.1184|766.7007|6703.917859|1337.85213|101.9335708||||
MLC|2020-11-16|MEDIO|134064.0|23817.0|691.0|70.0|426.4252|426.0|216|228.0|304.0|8078.23|646.2584|766.7007|4950.368662|1337.85213|130.17240800000002||||
MLC|2020-11-16|BAJO|144409.0|25590.0|697.0|59.0|927.4218|459.0|234|253.0|305.0|8813.59|705.0872|766.7007|5434.0698|1337.85213|132.20717290000002||||
MLM|2020-11-16|ALTO|376016.0|66180.0|2041.0|324.0|0.0|1160.0|482|669.0|947.0|47505.32|5225.5852|20.4833|66905.54251|7350.328466|1035.925908||||
MLM|2020-11-16|MEDIO|309081.0|54937.0|1362.0|268.0|0.0|646.0|227|312.0|425.0|16928.36|1862.1196|20.4833|33922.37468|3738.166073|558.0312615||||
MLM|2020-11-16|BAJO|316699.0|55670.0|1201.0|209.0|0.0|493.0|194|237.0|310.0|12334.94|1356.8434|20.4833|24134.95052|2659.585798|402.085522||||
MLA|2020-11-17|ALTO|461918.0|81212.0|1619.0|212.0|0.0|949.0|282|365.0|694.0|25296.01|2403.12095|80.04|26752.44847|2530.1185579999997|411.2761945||||
MLA|2020-11-17|MEDIO|369900.0|65450.0|2835.0|164.0|2616.2415|1994.0|964|1085.0|1424.0|42940.76|4079.3722|80.04|59558.40535|5621.485306000001|1396.2776310000006||||
MLA|2020-11-17|BAJO|397097.0|70205.0|2881.0|148.0|4034.3863|2018.0|972|1065.0|1357.0|36713.39|3487.77205|80.04|56216.14751|5262.955354|1418.287069||||
MLM|2020-11-23|ALTO|370525.0|65349.0|1550.0|222.0|0.0|863.0|309|456.0|706.0|19449.89|2139.4879|20.1012|235226.4781|25874.9126|1521.0539939999999||||
MLM|2020-11-23|MEDIO|303036.0|53494.0|2154.0|178.0|1994.4398|1395.0|722|826.0|1067.0|26605.59|2926.6149|20.1012|274550.5384|30101.339289999996|2682.62696||||
MLM|2020-11-23|BAJO|307175.0|54228.0|1870.0|149.0|2678.3976|1192.0|620|709.0|896.0|22757.36|2503.3096|20.1012|215830.8049|23608.14288|2247.477934||||
MLC|2020-11-23|ALTO|155602.0|27496.0|635.0|71.0|0.0|339.0|140|178.0|269.0|10953.96|876.3168|761.5508|15673.284130000002|1253.3485230000001|350.8277192||||
MLC|2020-11-23|MEDIO|132298.0|23358.0|618.0|63.0|292.4658|392.0|204|223.0|298.0|8949.82|715.9856|761.5508|15673.284130000002|1253.3485230000001|350.8277192||||
MLC|2020-11-23|BAJO|142140.0|25035.0|709.0|51.0|882.3204|457.0|228|248.0|316.0|8194.01|655.5208|761.5508|15673.284130000002|1253.3485230000001|350.8277192||||
MCO|2020-11-24|ALTO|215403.0|37945.0|787.0|127.0|0.0|422.0|172||311.0|12016.67|1225.70034|3632.9289|15732.1906|1604.5089580000001|377.4512084||||
MCO|2020-11-24|MEDIO|145634.0|25887.0|873.0|73.0|991.9832|600.0|302||429.0|8234.23|839.8914599999997|3632.9289|15732.1906|1604.5089580000001|377.4512084||||
MCO|2020-11-24|BAJO|150286.0|26401.0|668.0|42.0|909.6705|454.0|220||296.0|6932.16|707.08032|3632.9289|15732.1906|1604.5089580000001|377.4512084||||
MLA|2020-11-24|ALTO|458622.0|80294.0|1655.0|238.0|0.0|913.0|323|450.0|744.0|27815.92|2642.5124|80.7|43939.12136000001|4174.216529|614.7671529||||
MLA|2020-11-24|MEDIO|364272.0|64153.0|2265.0|159.0|1684.0641|1479.0|692|777.0|1067.0|32323.64|3070.7458|80.7|44742.33264|4229.653396|1065.2150800000004||||
MLA|2020-11-24|BAJO|387078.0|69076.0|2203.0|149.0|2911.1528|1480.0|738|814.0|1046.0|33073.15|3141.94925|80.7|52713.53385|4971.711951|1111.287245||||
MLA|2020-12-01|ALTO|471844.0|83589.0|1574.0|270.0|0.0|933.0|350|443.0|712.0|37464.87|3559.16265|81.43|42351.06771|4023.351433|568.2960994||||
MLA|2020-12-01|MEDIO|373521.0|66060.0|2471.0|191.0|2620.6334269999998|1728.0|964|1050.0|1289.0|48222.62|4581.1489|81.43|60282.20027|5694.626373|1376.754119||||
MLA|2020-12-01|BAJO|393789.0|69024.0|2451.0|183.0|4213.065332|1683.0|948|1033.0|1236.0|46344.96|4402.7712|81.43|58078.583029999994|5465.726897|1371.812733||||
MLM|2020-12-01|ALTO|382390.0|67382.0|1490.0|245.0|0.0|805.0|337|420.0|655.0|22114.23|2432.5653|20.0508|38245.43455|4206.9978|660.5792227999998||||
MLM|2020-12-01|MEDIO|308794.0|54411.0|2179.0|175.0|2872.124304|1482.0|821|907.0|1171.0|32802.89|3608.3179|20.0508|56524.74895|6074.4800049999985|1549.5761810000001||||
MLM|2020-12-01|BAJO|307376.0|54423.0|2026.0|158.0|4765.395893999998|1381.0|833|917.0|1098.0|28746.41|3162.1051|20.0508|53207.66934|5615.177504|1501.580644||||
MLC|2020-12-07|ALTO|162382.0|28664.0|865.0|125.0|0.0|475.0|216|260.0|378.0|15432.1|1234.568|747.6077|23370.33548|1868.883139|472.74349759999996|83409.0|137943.0|10177.0|205.0
MLC|2020-12-07|MEDIO|143239.0|25267.0|903.0|90.0|517.6511692|520.0|284|309.0|392.0|11979.08|958.3264|747.6077|23370.33548|1868.883139|472.74349759999996|62745.0|121995.0|8578.0|570.0
